,LogisticRegressionModel,LogisticRegressionModel_SHAP,RandomForestModel,RandomForestModel_SHAP,SVMModel,SVMModel_SHAP,GradientBoostingModel,GradientBoostingModel_SHAP,XGBoostModel,XGBoostModel_SHAP,CatBoostModel,CatBoostModel_SHAP,ANOVA_F,MutualInfo,LogisticRegressionModel_rank,LogisticRegressionModel_SHAP_rank,RandomForestModel_rank,RandomForestModel_SHAP_rank,SVMModel_rank,SVMModel_SHAP_rank,GradientBoostingModel_rank,GradientBoostingModel_SHAP_rank,XGBoostModel_rank,XGBoostModel_SHAP_rank,CatBoostModel_rank,CatBoostModel_SHAP_rank,ANOVA_F_rank,MutualInfo_rank,mean_rank
III_qtc_mean,0.055943800080298776,0.0,0.007155247033681673,0.0015123919962390592,0.0,0.0,9.751909533259411e-05,0.0,0.0039000225,0.0,0.24509284624733443,0.0,1.08968587520406,0.0,151.0,239.0,30.0,20.0,183.5,257.0,326.0,232.5,45.0,218.5,158.0,226.5,163.0,275.5,180.39285714285714
V6_rms,0.0009819230488669574,0.0,0.005587184027774598,0.0,0.0,0.00010936436447598244,0.008564808233722274,0.001877460183568703,0.0031375932,0.0,0.36284954964379396,0.0,0.02283434055636846,0.0,348.5,239.0,47.0,220.0,183.5,160.0,15.0,71.0,135.0,218.5,62.0,226.5,327.5,275.5,180.64285714285714
I_signal_complexity,0.0060123294309779255,0.0,0.0028547095232334518,0.0,0.0,0.0007082267017891671,0.00466795272857999,0.0,0.0040118354,0.0,0.1577623723345799,0.0,0.5623597351707565,0.019296739143208397,333.0,239.0,114.0,220.0,183.5,92.0,69.0,232.5,38.0,218.5,268.0,226.5,208.0,90.0,180.85714285714286
"noradrenalina przyjęcie: tak=1, nie =0 (TISS nr 1)",0.04104062121159452,0.0,0.0,0.0,0.0,0.002594215843970367,0.002618495552869372,0.00242213292875716,0.0012291956,0.0,0.04127642407194613,0.0,9.173450238328487,0.028693182489692104,188.0,239.0,305.0,220.0,183.5,14.0,142.0,57.0,326.0,218.5,330.0,226.5,27.0,59.0,181.10714285714286
V1_zero_crossings,0.011412700098184991,0.0,0.0033365944800650815,0.0,0.0,0.0,0.0047025937859016655,0.0,0.00305933,0.0014466869378161225,0.37099589644207764,0.0006475772023792846,0.0004775903096665941,0.0,307.0,239.0,94.0,220.0,183.5,257.0,68.0,232.5,142.0,47.0,58.0,66.0,346.0,275.5,181.10714285714286
V4_st_level,0.0632227070866838,0.00234212871435223,0.0,0.0,0.0,0.0003114130412742931,0.0018342140668096856,0.0,0.0029201761,0.0,0.2546853512845864,0.0,0.6907723180720621,0.011306617419116982,130.0,50.0,305.0,220.0,183.5,137.0,202.0,232.5,170.0,218.5,145.0,226.5,193.0,129.0,181.57142857142858
I_shannon_entropy,0.06382704962869593,0.0010013391129556743,4.1190634692816096e-05,0.0,0.0,0.0,0.002311466548542176,0.0,0.0053798575,0.0,0.1391954340638855,0.0,1.0652999896634439,0.014445526149639676,126.0,93.0,252.0,220.0,183.5,257.0,164.0,232.5,6.0,218.5,290.0,226.5,165.0,108.0,181.57142857142858
II_signal_complexity,0.07679117750740613,0.0,0.0028650322126604847,0.0,0.0,0.0,0.0014063877704847975,0.0,0.0036588754,0.0,0.2867596054720917,0.0,2.551423419507796,0.0,91.0,239.0,113.0,220.0,183.5,257.0,231.0,232.5,66.0,218.5,108.0,226.5,92.0,275.5,182.39285714285714
aVR_hrv_rmssd,0.023711662523719618,0.0009564614884329686,0.0005654843684456851,0.0,0.0,0.0028738052691890787,0.0021282005645148695,0.0,0.0041252007,0.0,0.14728918418431533,0.0,0.18770895023927353,0.011138608578448617,257.0,94.0,232.0,220.0,183.5,9.0,178.0,232.5,30.0,218.5,274.0,226.5,269.0,130.0,182.42857142857142
I_qrs_duration,0.009172201469013827,0.0,0.001968091376673817,0.0,0.0,0.0,0.003590611502694677,0.0009201195172470422,0.0035231235,0.0,0.2896727613307203,0.0,0.0840338172186685,0.03144255445228139,316.0,239.0,159.0,220.0,183.5,257.0,104.0,92.0,91.0,218.5,103.0,226.5,298.0,53.0,182.89285714285714
V6_qtc_sd,0.10275698653882842,0.004371431580537997,0.0021442916065716588,0.0,0.0,0.0004964380344536194,0.0005130773095512888,0.0,0.0010396153,0.0,0.2641929391491251,0.0,1.7308759183447013,0.0,52.0,24.0,143.0,220.0,183.5,110.0,298.0,232.5,329.0,218.5,136.0,226.5,125.0,275.5,183.82142857142858
II_qtc_sd,0.005805678100308781,0.0,0.0011012911879150827,0.0,0.0,0.0004820276222419611,0.0022843000322059757,0.0,0.0026489687,0.0,0.3433329304264222,0.0,1.6493017953836286,0.04314829271406162,334.0,239.0,209.0,220.0,183.5,113.0,166.0,232.5,214.0,218.5,66.0,226.5,130.0,24.0,184.0
temperatura ciała przy przyjęciu (TISS nr 1),0.011056234469982324,0.0,0.0050871928422125,0.0,0.0,0.001127073235556005,0.0033329022594164068,0.0,0.0033824262,0.0,0.2513472407764441,0.0,0.6514723323538291,0.0,310.0,239.0,53.0,220.0,183.5,57.0,111.0,232.5,103.0,218.5,149.0,226.5,198.0,275.5,184.03571428571428
"Wentylacja mechaniczna TAK=1, NIE =0 (TISS nr 1)",0.10427084274137682,0.0029484748091056817,0.0,0.0,0.0,0.0,0.0008047336557246463,0.0009467520705790914,0.0019073788,0.0,0.030953743861566976,0.0,3.951814818888474,0.049902379221477444,47.0,38.0,305.0,220.0,183.5,257.0,274.0,90.0,312.0,218.5,335.0,226.5,63.0,12.0,184.39285714285714
aVL_signal_complexity,0.02055588346535656,0.0,0.0,0.0,0.0,0.0005019167463162275,0.0026513153540593383,0.0,0.00459242,0.0,0.205568314201339,0.0,0.7800244640847078,0.038679979100539885,269.0,239.0,305.0,220.0,183.5,108.0,141.0,232.5,14.0,218.5,212.0,226.5,187.0,29.0,184.64285714285714
V2_p_amplitude_var,0.12800356849270875,0.0014991892237154897,0.0,0.0,0.0,0.0006230439115029703,0.001256203705668417,0.0,0.00271516,0.0,0.20212923935820065,0.0,3.691962033216672,0.0,23.0,71.0,305.0,220.0,183.5,101.0,245.0,232.5,207.0,218.5,218.0,226.5,66.0,275.5,185.17857142857142
Glukoza (1. gaz. 1sza doba),0.042193469160519394,0.0,0.0019706437559814903,0.0,0.0,0.0,0.003919935177884686,0.008273450544373964,0.0024815595,0.003929900533626147,0.16633019240391947,0.0,0.4455446842566634,0.0,185.0,239.0,157.0,220.0,183.5,257.0,90.0,12.0,241.0,23.0,254.0,226.5,229.0,275.5,185.17857142857142
V6_shannon_entropy,0.09416845155250034,0.0008689963219683079,0.0,0.0,0.0,0.0,0.003062234777793675,0.0,0.002603165,0.0,0.44089500317869984,0.0,1.237109781864427,0.0,66.0,99.0,305.0,220.0,183.5,257.0,118.0,232.5,221.0,218.5,39.0,226.5,153.0,275.5,186.75
V6_st_level,0.04350162171244791,0.0,0.0,0.0,0.0,0.0,0.004199141356277396,0.0,0.003471043,0.0,0.2599262321783903,0.0010407660893633458,0.17122825960884133,0.010228859095185339,182.0,239.0,305.0,220.0,183.5,257.0,86.0,232.5,94.0,218.5,138.0,53.0,272.0,137.0,186.96428571428572
aVR_hrv_sdnn,0.042933258998219176,0.0022086304586980015,0.0011549588085299205,0.0,0.0,0.002721996060797441,0.003187754298846711,0.0,0.0030537057,0.0,0.167172763808291,0.0,0.062315878650147316,0.0,184.0,54.0,201.0,220.0,183.5,11.0,114.0,232.5,143.0,218.5,252.0,226.5,304.0,275.5,187.10714285714286
aVR_qtc_sd,0.015343932466280318,0.0,0.0012481747031019912,0.00027684359046515044,0.0,0.0007256493595600444,0.0013211863612462627,0.0,0.0030418779,0.0,0.23553472557459926,0.0,0.46661275803340735,0.015066760265554091,288.0,239.0,197.0,68.0,183.5,88.0,240.0,232.5,145.0,218.5,173.0,226.5,223.0,103.0,187.5
V1_t_amplitude,0.059098002413369266,0.0029207961265668232,0.0014990342404774734,0.0,0.0,0.0,0.0013520581651171517,0.0,0.0045012888,0.0,0.1873918457374408,0.0,1.0431906301816298,0.0,144.0,39.0,183.0,220.0,183.5,257.0,235.0,232.5,17.0,218.5,233.0,226.5,169.0,275.5,188.10714285714286
V1_qtc_sd,0.09660897954342,0.0,0.0,0.0,0.0,0.0,0.005454380546364639,0.0,0.0027390665,0.0,0.2555492344175412,0.0,0.6956916819738295,0.013704134263110346,60.0,239.0,305.0,220.0,183.5,257.0,45.0,232.5,200.0,218.5,144.0,226.5,190.0,113.0,188.14285714285714
"Antybiotyki Tak=1, NIE =0)",8.509240218862685e-05,0.0,0.0,0.0,0.00021505376344086447,0.002458094133837382,0.0007753592779039161,0.0,0.0041536517,0.0,0.0,0.0,2.946464636830675,0.022719890412338684,353.0,239.0,305.0,220.0,11.0,16.0,276.0,232.5,28.0,218.5,352.0,226.5,82.0,77.0,188.32142857142858
II_st_slope,0.039932370165580246,0.0,0.0025232069140660963,0.0,0.0,0.0,0.003577455988863379,0.0,0.003912703,0.0,0.24577049571803275,0.0,1.0936623767194136,0.0,190.0,239.0,127.0,220.0,183.5,257.0,105.0,232.5,44.0,218.5,156.0,226.5,162.0,275.5,188.32142857142858
aVF_st_slope,0.08222754104955483,0.0,0.0023094448498186967,0.0,0.0,0.0008606359204905767,2.5811214678151182e-05,0.0,0.0022155256,0.0,0.20246006685660925,0.0,1.3641032621278408,0.03219516493874841,84.0,239.0,134.0,220.0,183.5,77.0,333.0,232.5,281.0,218.5,216.0,226.5,148.0,50.0,188.78571428571428
aVL_std,0.026873886717961,0.0,0.0008878896964651583,0.0,0.0,0.0,0.006200286803628571,0.0007264453306477028,0.0022491002,0.0,0.27838314855857793,0.0,0.3341103906258284,0.028452441469986933,241.5,239.0,223.0,220.0,183.5,257.0,31.0,105.0,274.0,218.5,122.0,226.5,242.5,60.0,188.82142857142858
V6_signal_complexity,0.008259635677117209,0.0,0.0013979419939388806,0.0,0.0,0.0007082719926506402,0.0030911133994796286,0.0,0.0027660315,0.0,0.21511079301604283,0.0,1.4302006648945613,0.025090466417228452,322.0,239.0,188.0,220.0,183.5,91.0,117.0,232.5,196.0,218.5,197.0,226.5,142.0,71.0,188.85714285714286
aVF_zero_crossings,0.014911353579340671,0.0,4.961724620233199e-05,0.0,0.0,0.00042959532272026,0.0037628892692957447,0.0005946219437717287,0.0027158586,0.0,0.2299565058535722,0.0,0.8770603335231552,0.010512921880721171,291.0,239.0,251.0,220.0,183.5,117.0,95.0,111.0,206.0,218.5,177.0,226.5,183.0,132.0,189.32142857142858
CTK skurczowe przyjęcie (TISS nr 1),0.025632518165626367,0.0,0.0011312014556401919,0.0,0.0,0.0,0.001632930066729333,0.0,0.0029143225,0.0,0.3143751919534803,0.0,2.1256744111785606,0.034607312071334384,249.0,239.0,204.0,220.0,183.5,257.0,217.0,232.5,172.0,218.5,84.0,226.5,107.0,42.0,189.42857142857142
II_std,0.028458141107710354,0.0,0.0004317460841496944,0.0,0.0,0.0,0.002983211994257006,0.0,0.0030069612,0.0,0.4686177800397996,0.0,0.45454546880366964,0.025374398904410844,235.5,239.0,240.0,220.0,183.5,257.0,123.0,232.5,149.0,218.5,35.0,226.5,225.5,68.0,189.5
I_std,0.026561754551813824,0.0,0.0017587588189505363,0.0,0.0,0.0,0.005221083815709782,0.0016645877908473344,0.0028289258,0.0,0.1471544646011388,0.0,0.15771620970149455,0.0417411728820587,244.5,239.0,173.0,220.0,183.5,257.0,49.0,76.0,190.0,218.5,276.0,226.5,277.5,27.0,189.82142857142858
sodium chloride difference tiss 1,0.0688662640488361,0.0005893759874021723,0.0,0.0,0.0,0.0,0.0025843428364465846,0.003718867539124339,0.0028969834,0.0,0.16784455616601615,0.0,0.026046555689516783,0.014573652878597798,109.5,110.0,305.0,220.0,183.5,257.0,145.0,33.0,175.0,218.5,251.0,226.5,322.5,106.0,190.17857142857142
aVF_p_amplitude_var,0.022007777618306752,0.0,0.0024954309377233446,0.0,0.0,0.0,0.0013503599934742423,0.0,0.0019357046,0.0,0.3393830701391856,0.0005866818324640958,0.6442854201916232,0.03542903687783072,263.0,239.0,128.0,220.0,183.5,257.0,236.0,232.5,310.0,218.5,68.0,71.0,199.0,39.0,190.32142857142858
aVR_st_slope,0.013648508550178812,0.0,0.0030813329693410696,0.0,0.0,0.0,0.003547997969968271,0.0,0.0032680917,0.0,0.4285701336736953,0.0013079462442189206,0.010521204017278464,0.0,297.0,239.0,102.0,220.0,183.5,257.0,106.0,232.5,119.0,218.5,41.0,43.0,333.0,275.5,190.5
aVF_hrv_rmssd,0.037386233414183054,0.0004045952156224748,0.0,0.0,0.0,0.0007130291579293594,0.0005803899504045098,0.0,0.002374819,0.00023156682381765586,0.24753118214844025,0.0,1.735410029752861,0.0006117260658200507,196.0,119.0,305.0,220.0,183.5,89.0,291.0,232.5,255.0,81.0,153.0,226.5,124.0,194.0,190.67857142857142
V3_rms,0.06595714486871898,0.001870607203812509,0.0,0.0,0.0,0.0008565779855590844,0.003846389525565112,0.0,0.0027396907,0.0,0.17088821816248864,0.0,0.5434333897188333,0.0,117.5,63.0,305.0,220.0,183.5,78.0,92.0,232.5,199.0,218.5,248.0,226.5,211.5,275.5,190.75
V3_shannon_entropy,0.01957870886551952,0.0,0.00156024942939028,0.0,0.0,0.0003446831802975919,0.0027550421969288366,0.002285484433235405,0.0015429478,0.0,0.228278176563572,0.0,0.1740466729209428,0.03645984150151871,271.0,239.0,180.0,220.0,183.5,131.0,135.0,60.0,322.0,218.5,179.0,226.5,271.0,35.0,190.82142857142858
V6_p_amplitude_var,0.07146475065336018,0.00041173687210645216,0.001424851665884028,0.0,0.0,0.0,0.0029712570051046738,0.0,0.0023400013,0.0,0.3079600622380301,0.0,0.9747671941622357,0.0,103.0,118.0,186.0,220.0,183.5,257.0,124.0,232.5,263.0,218.5,92.0,226.5,174.0,275.5,190.96428571428572
V2_qrs_duration,0.07088552536600856,0.0,0.0026426268446195795,0.0003168507762122167,0.0,0.0,0.0009202323722621973,0.0,0.0021153914,0.0,0.2848679078394047,0.0,0.0002137859193815935,0.07647268828465026,104.0,239.0,123.0,65.0,183.5,257.0,267.0,232.5,298.0,218.5,111.0,226.5,351.0,2.0,191.28571428571428
mOsm (1. gaz. 1 TISS),0.02472420453803153,0.0,0.0019094709236122602,0.0,0.0,0.0,0.0020401460259702377,0.0,0.003277362,0.0,0.2803544429436538,0.0,0.2162708646522745,0.05279875895748276,252.0,239.0,163.0,220.0,183.5,257.0,184.0,232.5,116.0,218.5,117.0,226.5,265.0,8.0,191.57142857142858
V4_p_duration,0.05924251395222394,0.0,0.0006441801395917157,0.0,0.0,0.0,0.0021996421729400997,0.0,0.0025307708,0.0,0.18096316696845102,0.0,2.892861014100871,0.04628037723478018,143.0,239.0,228.0,220.0,183.5,257.0,172.0,232.5,234.0,218.5,240.0,226.5,85.0,16.0,192.5
V5_st_level,0.009942293400327129,0.0,0.006076239275239201,0.0015209299784583682,0.0,0.0,0.0008111141302357056,0.0,0.0032155642,0.0,0.08512320175784982,0.0,0.3162160621855,0.04771614697585447,312.0,239.0,41.0,19.0,183.5,257.0,273.0,232.5,128.0,218.5,314.0,226.5,244.0,14.0,193.0
I_zero_crossings,0.009048499640148247,0.0,0.0017448840347228619,0.0,0.0,0.0,0.0042051423888782085,0.0006278332681007574,0.0030091526,0.0,0.2850741674806952,0.0,0.3739448399762593,0.0030797589701772043,318.0,239.0,174.0,220.0,183.5,257.0,84.0,110.0,148.0,218.5,110.0,226.5,234.0,182.0,193.17857142857142
V3_t_amplitude,0.01760055032126082,0.0,0.0016989161381487513,0.00029473318744937214,0.0,0.0,0.004509276075631191,0.0,0.0032801102,0.0,0.23930084177652539,0.0,0.6585232649324576,0.0,281.0,239.0,175.0,67.0,183.5,257.0,74.0,232.5,115.0,218.5,164.0,226.5,196.0,275.5,193.17857142857142
III_qrs_duration_var,0.034721192369545344,0.0,0.0,0.0,0.0,0.0,0.004423901518359646,0.0,0.003361017,0.0005118282819921145,0.16125048024151087,0.0,1.1729956050295565,0.005481184764779767,206.0,239.0,305.0,220.0,183.5,257.0,77.0,232.5,106.0,72.0,261.0,226.5,157.0,163.0,193.25
aVF_qrs_duration_var,0.04752098144779256,0.0,0.003573138043533742,0.0,0.0,0.0003219120296555917,0.00538478722728745,0.0,0.002349403,0.0,0.13953403868590464,0.0,1.5264510122685442,0.0,167.0,239.0,82.0,220.0,183.5,136.0,47.0,232.5,261.0,218.5,288.0,226.5,137.0,275.5,193.82142857142858
niewydolność wątroby przewlekła,0.060789244807472526,0.00123636702211426,0.0,0.0,0.0,0.0008837489043704221,6.332889693720274e-07,0.0,0.0023045954,0.0,0.04890030033446252,0.0,5.437577697551891,0.03054304805938357,139.0,80.0,305.0,220.0,183.5,74.0,338.0,232.5,268.0,218.5,326.0,226.5,47.0,56.0,193.85714285714286
V4_r_amplitude,0.055896501336032196,0.0006417589369461819,0.0,0.0,0.0,0.0008012057221254578,0.0010613318565550376,0.0,0.0028764154,0.0,0.18099592182605798,0.0,1.0506081085387953,0.009618334607737866,152.0,107.0,305.0,220.0,183.5,81.0,263.0,232.5,179.0,218.5,239.0,226.5,167.0,141.0,193.92857142857142
sodium chloride difference,0.0688662640488361,0.0,0.0016957067875890287,0.0,0.0,0.0,0.0022506771695555467,0.0011751054790256,0.0029293955,0.0,0.3302054149861606,0.0,0.026046555689516783,0.0,109.5,239.0,177.0,220.0,183.5,257.0,169.0,80.0,168.0,218.5,72.0,226.5,322.5,275.5,194.14285714285714
V3_qrs_duration_var,0.03420713870935182,0.0,0.0015406936562765662,0.0,0.0,0.0,0.0012818574582088797,0.0,0.0033789484,0.0,0.22346337455560963,0.0010426482741024378,0.5543599962566029,0.0028573927658210874,211.0,239.0,182.0,220.0,183.5,257.0,242.0,232.5,104.0,218.5,184.0,52.0,210.0,183.0,194.17857142857142
aVF_rms,0.03079598328068305,0.0003015845137544946,0.0014865251727428823,0.00014419198062739006,0.0,0.0,0.0048658205809846335,0.0,0.0017453869,0.0,0.21899387612761764,0.0,0.3129482367013435,0.002124379747031613,219.0,120.0,184.0,80.0,183.5,257.0,66.0,232.5,316.0,218.5,188.0,226.5,246.0,186.0,194.5
"dobutamina przyjęcie tak=1, nie =0 (TISS nr 1)",0.09535023141467733,0.002389269084634155,0.0,0.0,0.0,0.001904597754413563,0.0,0.0,0.0,0.0,0.0513855029217897,0.0004559669545971325,4.267395071068887,0.0,64.0,48.0,305.0,220.0,183.5,25.0,346.0,232.5,342.5,218.5,324.0,82.0,60.0,275.5,194.75
V2_zero_crossings,0.05991463032942276,0.0,0.0,0.0,0.0,0.0,0.00457020977734339,0.0019340416677788184,0.0023948292,0.0008162975065917953,0.16554313621453587,0.0,0.08087431837901381,0.008735494127648735,142.0,239.0,305.0,220.0,183.5,257.0,73.0,68.0,252.0,61.0,255.0,226.5,299.0,146.0,194.78571428571428
V4_signal_complexity,0.019380506715853188,0.0,0.005221701694417122,0.0,0.0,0.0,0.004625620990531887,0.0,0.002555814,0.0,0.22417955657088312,0.0,0.523007536727016,0.010235121495072441,272.0,239.0,51.0,220.0,183.5,257.0,70.0,232.5,229.0,218.5,183.0,226.5,214.0,136.0,195.14285714285714
nadciśnienie,0.06925519107408071,0.0005534116409112409,0.0,0.0,0.0,0.0004902290611652065,0.0003973526555303217,0.0,0.0029432203,0.0,0.16894938794897243,0.0,9.98062826279962,0.0,107.0,114.0,305.0,220.0,183.5,112.0,305.0,232.5,165.0,218.5,250.0,226.5,22.0,275.5,195.46428571428572
aVR_heart_rate,0.0017270959340034164,0.0,0.0011174591934069692,0.0,0.0,0.0,0.0018621324225253783,0.0009510225772659858,0.002664683,0.0005667731390678804,0.22836786551244215,0.0,6.9221117316480605,0.0,346.0,239.0,206.0,220.0,183.5,257.0,199.0,89.0,211.0,70.0,178.0,226.5,38.0,275.5,195.60714285714286
V2_hrv_rmssd,0.06418346863767797,0.0006472250838407765,0.0019480992657215186,0.0005217944066635928,0.0,0.0,0.0005417922689165816,0.0,0.0032650626,0.0,0.22544552668735257,0.0,0.04372909386334956,0.0,124.0,106.0,161.0,55.0,183.5,257.0,295.0,232.5,120.0,218.5,180.0,226.5,308.0,275.5,195.89285714285714
I_rms,0.026561754551813824,0.0,0.00026683695908975776,0.0,0.0,0.0,0.006082493508606962,0.0,0.0025550905,0.0,0.27488724385054547,0.0,0.15771620970149455,0.04911804457064517,244.5,239.0,242.0,220.0,183.5,257.0,36.0,232.5,230.0,218.5,126.0,226.5,277.5,13.0,196.14285714285714
II_p_amplitude_var,0.009287260446284133,0.0,0.0011062627983657624,0.0,0.0,0.0,0.002439528173555639,0.0008819634735201903,0.0037465347,0.0015906176822295252,0.18916283199296058,0.0,0.34149168394298113,0.0,315.0,239.0,207.0,220.0,183.5,257.0,156.0,94.0,59.0,45.0,231.0,226.5,239.0,275.5,196.25
V3_st_slope,0.03425246954940457,0.0,0.003699577559952566,0.0,0.0,0.0,0.000374640659861002,0.0,0.0026603437,0.0007027283536872596,0.30301189716786836,0.0005655720347765363,0.09601147982846013,0.0,210.0,239.0,78.0,220.0,183.5,257.0,310.0,232.5,213.0,68.0,96.0,74.0,295.0,275.5,196.53571428571428
V2_signal_complexity,0.03695335721225216,0.0,0.000981627350840488,0.0,0.0,0.00031061940749038886,0.00275738833476863,0.0,0.0036720526,0.0,0.16331509380172388,0.0,1.2648501052307848,0.0,197.0,239.0,216.0,220.0,183.5,139.0,134.0,232.5,65.0,218.5,258.0,226.5,151.0,275.5,196.82142857142858
V4_shannon_entropy,0.012828989808286569,0.0,0.0030940429005713865,0.0006348116714045517,0.0,0.0003602696623920876,0.0009160203506825918,0.0,0.0024175595,0.0,0.24098377272587218,0.0,0.24350894162777023,0.007360623339874195,300.0,239.0,101.0,47.0,183.5,129.0,268.0,232.5,247.0,218.5,161.0,226.5,257.0,151.0,197.21428571428572
aVF_qrs_duration,0.10824969258373392,0.0,0.0,0.0,0.0,0.0,0.002014556814682936,0.0006877124178546061,0.0017559007,0.0,0.21615169063457312,0.0,3.1687404507905135,0.00156524056481544,42.0,239.0,305.0,220.0,183.5,257.0,187.0,108.0,314.0,218.5,193.0,226.5,79.0,190.0,197.32142857142858
V3_signal_quality,0.11008162503240707,0.006017030625797986,0.0,0.0,0.0,0.0025501556128671057,0.0003949730571508248,0.0,0.0017026154,0.0,0.06886923476029906,0.0,0.8323128478505184,0.0020089676232233344,37.0,11.0,305.0,220.0,183.5,15.0,306.0,232.5,319.0,218.5,318.0,226.5,185.0,188.0,197.5
aVL_r_amplitude,0.036215652372293045,0.0,0.002291547189377098,0.0,0.0,0.0004090744047438299,0.0008806660115823576,0.0,0.0033841315,0.0,0.3439767831288593,0.0,0.16771459500549907,0.0,200.0,239.0,138.0,220.0,183.5,121.0,269.0,232.5,102.0,218.5,65.0,226.5,276.0,275.5,197.60714285714286
V6_std,0.0009819230488669574,0.0,0.0022983834289570116,0.0,0.0,0.0,0.0023257813670510647,0.0,0.003697798,0.0,0.5570585341071419,0.0002851619841979082,0.02283434055636846,0.0,348.5,239.0,136.0,220.0,183.5,257.0,160.0,232.5,62.0,218.5,22.0,86.0,327.5,275.5,197.71428571428572
V5_p_duration,0.05624770112046107,0.0012003520839512292,0.0,0.0,0.0,0.00030698538271776613,0.004983603176278641,0.0008565736490234172,0.0022826614,0.0,0.11395093856957558,0.0,0.27849954451089237,0.0,149.0,82.0,305.0,220.0,183.5,141.0,55.0,96.0,271.0,218.5,303.0,226.5,249.0,275.5,198.21428571428572
V5_qtc_sd,0.01717085149142278,0.0,0.0004616760047399127,0.0,0.0,0.0,0.001326130055670303,0.0,0.0043628966,0.0,0.2771492074353445,0.0,0.6547216807203599,0.017655497973376733,283.0,239.0,239.0,220.0,183.5,257.0,239.0,232.5,21.0,218.5,125.0,226.5,197.0,96.0,198.35714285714286
V4_qtc_mean,0.0487694340913122,0.0,0.0,0.0,0.0,0.0,0.002952981615692505,0.0,0.0035859344,0.0,0.17851845051479792,0.0,1.3559203184077107,0.010505150545000674,166.0,239.0,305.0,220.0,183.5,257.0,125.0,232.5,80.0,218.5,243.0,226.5,149.0,133.0,198.42857142857142
I_st_level,0.03137123763146821,0.0,0.0,0.0,0.0,0.0,0.0019026125955283726,0.0,0.002830024,0.0,0.23653081888897712,0.0,1.7101138067248967,0.05029176214081543,216.0,239.0,305.0,220.0,183.5,257.0,197.0,232.5,189.0,218.5,169.0,226.5,126.0,11.0,199.28571428571428
aVF_signal_complexity,0.03909084523831709,0.0,0.006098473299882163,0.000590501241059561,0.0,0.0,0.0011467059171773593,0.0,0.002404359,0.0,0.15794069301872105,0.0,0.33659209349284913,0.00990478596019817,191.0,239.0,40.0,50.0,183.5,257.0,258.0,232.5,248.0,218.5,267.0,226.5,241.0,139.0,199.35714285714286
V5_hrv_sdnn,0.08752116233090439,0.0,0.0018449317733169707,0.0003656907927233201,0.0,0.0004003069540643911,0.00116622935947349,0.0,0.0015127504,0.0,0.19645534387853103,0.0,0.8529465160435868,0.0,79.0,239.0,167.0,62.0,183.5,122.0,255.0,232.5,324.0,218.5,223.0,226.5,184.0,275.5,199.39285714285714
II_hrv_rmssd,0.011512064751557168,0.0,0.002577430953967875,0.0007230230206978862,0.0,0.0,0.0005911349855245527,0.0,0.0027193737,0.0,0.17926348235894485,0.0,0.5745864995314266,0.04456985857876483,306.0,239.0,125.0,43.0,183.5,257.0,287.0,232.5,205.0,218.5,242.0,226.5,205.0,22.0,199.42857142857142
aVR_qrs_duration_var,0.017248096007760637,0.0,0.005574749437861183,0.00018544835810992144,0.0,0.0,0.0012263611231061544,0.0,0.0032357464,0.0,0.30898689049398503,0.0,0.08605411404513608,0.0,282.0,239.0,48.0,73.0,183.5,257.0,248.0,232.5,124.0,218.5,91.0,226.5,296.0,275.5,199.60714285714286
aVL_rms,0.026873886717961,0.0,0.0008730344558506903,0.0,0.0,0.0,0.0048021137506743545,0.0,0.002579089,0.0,0.2360788385174052,0.0,0.3341103906258284,0.03383073491934652,241.5,239.0,224.0,220.0,183.5,257.0,67.0,232.5,226.0,218.5,172.0,226.5,242.5,45.0,199.64285714285714
V2_shannon_entropy,0.013564027640590276,0.0,0.004243172122697677,0.0,0.0,0.0004280122912484917,0.0025880740171656926,0.0,0.003782009,0.0,0.1402118956544383,0.0,0.0016693115311782563,0.004585935282658493,298.0,239.0,68.0,220.0,183.5,118.0,144.0,232.5,55.0,218.5,287.0,226.5,341.0,171.0,200.14285714285714
V3_p_amplitude_var,0.09664987825365134,0.0,0.0032135201350048923,0.0,0.0021505376344086446,0.0,0.0014906211306054428,0.0,0.0022138713,0.0,0.1808710266119508,0.0,0.005163811524540041,0.0046610153069772675,59.0,239.0,98.0,220.0,2.5,257.0,227.0,232.5,282.0,218.5,241.0,226.5,336.0,169.0,200.57142857142858
I_r_amplitude,0.02303466725816325,0.0,0.0013458177456557874,0.0,0.0,0.00037431659271890686,0.0012773412060016211,0.0,0.0035254085,0.0,0.2988655090399696,0.0,0.026791177713126276,0.006154075707154538,260.0,239.0,192.0,220.0,183.5,126.0,243.0,232.5,90.0,218.5,99.0,226.5,321.0,157.0,200.57142857142858
I_mean,0.03826575357007894,0.0,0.002821868547847486,0.0,0.0,0.0,0.005048612400203018,0.0,0.00223458,0.0,0.2940348140962134,0.0,0.0014493274423621326,0.008175456681600801,194.0,239.0,115.0,220.0,183.5,257.0,53.0,232.5,278.0,218.5,101.0,226.5,342.0,148.0,200.57142857142858
aVR_st_level,0.029698176043968013,0.000933774277213024,0.0,0.0,0.0,0.0004669178504969211,0.002176961083323522,0.0,0.0028199386,0.0,0.17442815982110715,0.0,0.6593669249800465,0.0032933066329832172,227.0,96.0,305.0,220.0,183.5,115.0,175.0,232.5,191.0,218.5,245.0,226.5,195.0,178.0,200.57142857142858
